num,year,manufacturer,model,cylinders,fuel,transmission,size,on_highway,on_city,engine,Annually
302,2017,Hyundai,Tucson AWD,4,Regular,Automatic,Small Sport Utility Vehicle 4WD,26,21,2,1500
303,2017,Hyundai,Tucson Eco AWD,4,Regular,Automatic,Small Sport Utility Vehicle 4WD,30,25,1.6,1300
304,2017,Hyundai,Tucson Eco FWD,4,Regular,Automatic,Small Sport Utility Vehicle2WD,32,26,1.6,1250
305,2017,Hyundai,Tucson FWD,4,Regular,Automatic,Small Sport Utility Vehicle2WD,30,25,1.6,1300
306,2017,Hyundai,Tucson FWD,4,Regular,Automatic,Small Sport Utility Vehicle2WD,30,23,2,1350
307,2017,Hyundai,Veloster,4,Regular,Automatic,Compact Cars,35,28,1.6,1150
308,2017,Hyundai,Veloster,4,Regular,Automatic,Compact Cars,32,26,1.6,1200
309,2017,Hyundai,Veloster,4,Regular,Manual,Compact Cars,33,25,1.6,1250
310,2017,Hyundai,Veloster,4,Regular,Manual,Compact Cars,34,27,1.6,1150
311,2017,Mazda,2,4,Regular,Automatic,Compact Cars,40,32,1.5,1000
312,2017,Mazda,2,4,Regular,Manual,Compact Cars,39,30,1.5,1050
313,2017,Mazda,6,4,Regular,Automatic,Midsize Cars,35,26,2.5,1200
314,2017,Mazda,6,4,Regular,Automatic,Midsize Cars,35,27,2.5,1150
315,2017,Mazda,6,4,Regular,Manual,Midsize Cars,34,24,2.5,1250
316,2017,Mazda,3 4-Door,4,Regular,Automatic,Compact Cars,37,28,2,1100
317,2017,Mazda,3 4-Door,4,Regular,Automatic,Compact Cars,36,27,2.5,1150
318,2017,Mazda,3 4-Door,4,Regular,Automatic,Compact Cars,37,28,2.5,1150
319,2017,Mazda,3 4-Door,4,Regular,Manual,Compact Cars,37,27,2,1150
320,2017,Mazda,3 4-Door,4,Regular,Manual,Compact Cars,34,25,2.5,1200
321,2017,Mazda,3 5-Door,4,Regular,Automatic,Midsize Cars,37,28,2,1150
322,2017,Mazda,3 5-Door,4,Regular,Automatic,Midsize Cars,35,26,2.5,1150
323,2017,Mazda,3 5-Door,4,Regular,Automatic,Midsize Cars,36,27,2.5,1150
324,2017,Mazda,3 5-Door,4,Regular,Manual,Midsize Cars,37,27,2,1150
325,2017,Mazda,3 5-Door,4,Regular,Manual,Midsize Cars,33,25,2.5,1250
326,2017,Mazda,CX-32WD,4,Regular,Automatic,Compact Cars,34,29,2,1150
327,2017,Mazda,CX-3 4WD,4,Regular,Automatic,Compact Cars,32,27,2,1200
328,2017,Mazda,CX-92WD,4,Regular,Automatic,Small Sport Utility Vehicle2WD,28,22,2.5,1450
329,2017,Mazda,CX-9 4WD,4,Regular,Automatic,Small Sport Utility Vehicle 4WD,26,20,2.5,1500
330,2017,Mazda,MX-5,4,Premium,Automatic,2 Seats,35,26,2,1450
331,2017,Mazda,MX-5,4,Premium,Manual,2 Seats,33,26,2,1450
332,2017,Nissan,370Z,6,Premium,Automatic,2 Seats,26,19,3.7,1900
333,2017,Nissan,370Z,6,Premium,Manual,2 Seats,26,18,3.7,2000
334,2017,Nissan,370Z Roadster,6,Premium,Automatic,2 Seats,25,18,3.7,2000
335,2017,Nissan,370Z Roadster,6,Premium,Manual,2 Seats,24,17,3.7,2100
336,2017,Nissan,Altima,6,Regular,Automatic,Midsize Cars,32,22,3.5,1350
337,2017,Nissan,Altima,4,Regular,Automatic,Midsize Cars,39,27,2.5,1150
338,2017,Nissan,Altima SR,4,Regular,Automatic,Midsize Cars,37,26,2.5,1150
339,2017,Nissan,Armada2WD,8,Regular,Automatic,Standard Sport Utility Vehicle2WD,19,14,5.6,2200
340,2017,Nissan,Armada 4WD,8,Regular,Automatic,Standard Sport Utility Vehicle 4WD,18,13,5.6,2350
341,2017,Nissan,Frontier2WD,4,Regular,Automatic,Small 2WD,22,17,2.5,1850
342,2017,Nissan,Frontier2WD,6,Regular,Automatic,Small 2WD,23,16,4,1850
343,2017,Nissan,Frontier2WD,4,Regular,Manual,Small 2WD,23,19,2.5,1650
344,2017,Nissan,Frontier2WD,6,Regular,Manual,Small 2WD,22,16,4,1850
345,2017,Nissan,Frontier2WD FFV,6,Gasoline or E85,Automatic,Small 2WD,22,16,4,1950
346,2017,Nissan,Frontier 4WD,6,Regular,Automatic,Small 4WD,21,15,4,2050
347,2017,Nissan,Frontier 4WD,6,Regular,Manual,Small 4WD,21,16,4,1950
348,2017,Nissan,Frontier 4WD FFV,6,Gasoline or E85,Automatic,Small 4WD,21,15,4,2050
349,2017,Nissan,GT-R,6,Premium,Automatic,Sub Cars,22,16,3.8,2350
350,2017,Nissan,Juke,4,Premium,Automatic,Small Wagons,32,28,1.6,1450
351,2017,Nissan,Juke,4,Premium,Manual,Small Wagons,33,27,1.6,1450
352,2017,Nissan,Juke AWD,4,Premium,Automatic,Small Wagons,30,26,1.6,1500
353,2017,Nissan,Juke Nismo RS,4,Premium,Manual,Small Wagons,31,26,1.6,1500
354,2017,Nissan,Juke Nismo RS AWD,4,Premium,Automatic,Small Wagons,29,25,1.6,1650
355,2017,Nissan,Leaf,,Electricity,Automatic,Midsize Cars,101,124,,600
356,2017,Nissan,Maxima,6,Premium,Automatic,Midsize Cars,30,21,3.5,1700
357,2017,Nissan,Murano AWD,6,Regular,Automatic,Midsize Wagons,28,21,3.5,1450
358,2017,Nissan,Murano FWD,6,Regular,Automatic,Midsize Wagons,28,21,3.5,1450
359,2017,Nissan,NV200 Cargo Van,4,Regular,Automatic,2WD,26,24,2,1400
360,2017,Nissan,Pathfinder2WD,6,Regular,Automatic,Small Sport Utility Vehicle2WD,27,20,3.5,1500
361,2017,Nissan,Pathfinder 4WD,6,Regular,Automatic,Small Sport Utility Vehicle 4WD,26,19,3.5,1600
362,2017,Nissan,Pathfinder 4WD Platinum,6,Regular,Automatic,Small Sport Utility Vehicle 4WD,26,19,3.5,1650
363,2017,Nissan,Quest,6,Regular,Automatic,Minivan -2WD,27,20,3.5,1600
364,2017,Nissan,Rogue AWD,4,Regular,Automatic,Small Sport Utility Vehicle 4WD,32,25,2.5,1300
365,2017,Nissan,Rogue FWD,4,Regular,Automatic,Small Sport Utility Vehicle2WD,33,26,2.5,1200
366,2017,Nissan,Rogue Hybrid  AWD,4,Regular,Automatic,Small Sport Utility Vehicle 4WD,34,31,2,1050
367,2017,Nissan,Rogue Hybrid  FWD,4,Regular,Automatic,Small Sport Utility Vehicle2WD,35,33,2,1050
368,2017,Nissan,Sentra,4,Premium,Automatic,Midsize Cars,33,27,1.6,1450
369,2017,Nissan,Sentra,4,Regular,Automatic,Midsize Cars,37,29,1.8,1100
370,2017,Nissan,Sentra,4,Regular,Manual,Midsize Cars,35,27,1.8,1150
371,2017,Nissan,Sentra,4,Premium,Manual,Midsize Cars,32,26,1.6,1500
372,2017,Nissan,Sentra Nismo,4,Premium,Automatic,Midsize Cars,30,25,1.6,1550
373,2017,Nissan,Sentra Nismo,4,Premium,Manual,Midsize Cars,31,25,1.6,1550
374,2017,Nissan,Titan2WD,8,Regular,Automatic,Pickup 2WD,21,15,5.6,1950
375,2017,Nissan,Titan 4WD,8,Regular,Automatic,Pickup 4WD,21,15,5.6,1950
376,2017,Nissan,Titan 4WD  PRO4X,8,Regular,Automatic,Pickup 4WD,20,15,5.6,2050
377,2017,Nissan,Versa,4,Regular,Automatic,Compact Cars,39,31,1.6,1050
378,2017,Nissan,Versa,4,Regular,Automatic,Compact Cars,35,26,1.6,1200
379,2017,Nissan,Versa,4,Regular,Manual,Compact Cars,36,27,1.6,1150
380,2017,Tesla,Model S AWD - 60D,,Electricity,Automatic,Large Cars,107,101,,600
381,2017,Tesla,Model S AWD - 75D,,Electricity,Automatic,Large Cars,105,102,,650
382,2017,Tesla,Model S AWD - P100D,,Electricity,Automatic,Large Cars,105,92,,700
383,2017,Tesla,Model S AWD - P90D,,Electricity,Automatic,Large Cars,100,92,,700
384,2017,Tesla,Model X AWD - 60D,,Electricity,Automatic,Standard Sport Utility Vehicle 4WD,94,91,,700
385,2017,Tesla,Model X AWD - 75D,,Electricity,Automatic,Standard Sport Utility Vehicle 4WD,95,91,,700
386,2017,Tesla,Model X AWD - 90D,,Electricity,Automatic,Standard Sport Utility Vehicle 4WD,94,90,,700
387,2017,Tesla,Model X AWD - P100D,,Electricity,Automatic,Standard Sport Utility Vehicle 4WD,92,81,,750
388,2017,Tesla,Model X AWD - P90D,,Electricity,Automatic,Standard Sport Utility Vehicle 4WD,90,89,,750
389,2017,Toyota,86,4,Premium,Automatic,Mini Car,32,24,2,1550
390,2017,Toyota,86,4,Premium,Manual,Mini Car,28,21,2,1750
391,2017,Toyota,4Runner2WD,6,Regular,Automatic,Standard Sport Utility Vehicle2WD,21,17,4,1950
392,2017,Toyota,4Runner 4WD,6,Regular,Automatic,Standard Sport Utility Vehicle 4WD,20,17,4,1950
393,2017,Toyota,4Runner 4WD,6,Regular,Automatic,Standard Sport Utility Vehicle 4WD,20,17,4,1950
394,2017,Toyota,Avalon,6,Regular,Automatic,Midsize Cars,30,21,3.5,1450
395,2017,Toyota,Avalon Hybrid,4,Regular,Automatic,Midsize Cars,39,40,2.5,850
396,2017,Toyota,Camry,6,Regular,Automatic,Midsize Cars,30,21,3.5,1450
397,2017,Toyota,Camry,4,Regular,Automatic,Midsize Cars,33,24,2.5,1300
398,2017,Toyota,Camry Hybrid LE,4,Regular,Automatic,Midsize Cars,38,42,2.5,850
399,2017,Toyota,Camry Hybrid XLE/SE,4,Regular,Automatic,Midsize Cars,37,40,2.5,900
400,2017,Toyota,Corolla,4,Regular,Automatic,Midsize Cars,35,28,1.8,1150
401,2017,Toyota,Corolla,4,Regular,Automatic,Midsize Cars,36,28,1.8,1100
402,2017,Toyota,Corolla,4,Regular,Manual,Midsize Cars,35,27,1.8,1150
403,2017,Toyota,Corolla iM,4,Regular,Automatic,Midsize Cars,36,28,1.8,1150
404,2017,Toyota,Corolla iM,4,Regular,Manual,Midsize Cars,35,27,1.8,1150
405,2017,Toyota,Corolla LE Eco,4,Regular,Automatic,Midsize Cars,40,30,1.8,1050
406,2017,Toyota,Corolla LE Eco,4,Regular,Automatic,Midsize Cars,38,29,1.8,1050
407,2017,Toyota,Highlander,4,Regular,Automatic,Small Sport Utility Vehicle2WD,24,20,2.7,1600
408,2017,Toyota,Highlander,6,Regular,Automatic,Small Sport Utility Vehicle2WD,27,20,3.5,1500
409,2017,Toyota,Highlander AWD,6,Regular,Automatic,Standard Sport Utility Vehicle 4WD,26,20,3.5,1600
410,2017,Toyota,Highlander AWD,6,Regular,Automatic,Standard Sport Utility Vehicle 4WD,26,19,3.5,1600
411,2017,Toyota,Highlander AWD LE,6,Regular,Automatic,Standard Sport Utility Vehicle 4WD,27,20,3.5,1500
412,2017,Toyota,Highlander Hybrid 4WD,6,Regular,Automatic,Standard Sport Utility Vehicle 4WD,27,29,3.5,1250
413,2017,Toyota,Highlander Hybrid 4WD LE Plus,6,Regular,Automatic,Standard Sport Utility Vehicle 4WD,28,30,3.5,1200
414,2017,Toyota,Highlander LE/XLE/SE/LTD,6,Regular,Automatic,Small Sport Utility Vehicle2WD,27,21,3.5,1500
415,2017,Toyota,Land Cruiser Wagon 4WD,8,Regular,Automatic,Standard Sport Utility Vehicle 4WD,18,13,5.7,2350
416,2017,Toyota,Prius,4,Regular,Automatic,Midsize Cars,50,54,1.8,650
417,2017,Toyota,Prius c,4,Regular,Automatic,Compact Cars,43,48,1.5,750
418,2017,Toyota,Prius Eco,4,Regular,Automatic,Midsize Cars,53,58,1.8,600
419,2017,Toyota,Prius Prime,4,Regular Gas and Electricity,Automatic,Midsize Cars,53,55,1.8,650
420,2017,Toyota,Prius v,4,Regular,Automatic,Midsize Wagons,39,43,1.8,850
421,2017,Toyota,RAV4,4,Regular,Automatic,Small Sport Utility Vehicle2WD,29,23,2.5,1400
422,2017,Toyota,RAV4 AWD,4,Regular,Automatic,Small Sport Utility Vehicle 4WD,28,22,2.5,1400
423,2017,Toyota,RAV4 Hybrid AWD,4,Regular,Automatic,Small Sport Utility Vehicle 4WD,30,34,2.5,1100
424,2017,Toyota,RAV4 LE/XLE,4,Regular,Automatic,Small Sport Utility Vehicle2WD,30,23,2.5,1350
425,2017,Toyota,RAV4 Limited AWD/SE AWD,4,Regular,Automatic,Small Sport Utility Vehicle 4WD,28,22,2.5,1450
426,2017,Toyota,Sequoia2WD,8,Regular,Automatic,Standard Sport Utility Vehicle2WD,17,13,5.7,2350
427,2017,Toyota,Sequoia 4WD,8,Regular,Automatic,Standard Sport Utility Vehicle 4WD,17,13,5.7,2500
428,2017,Toyota,Sequoia 4WD FFV,8,Gasoline or E85,Automatic,Standard Sport Utility Vehicle 4WD,17,13,5.7,2500
429,2017,Toyota,Sienna2WD,6,Regular,Automatic,Minivan -2WD,27,19,3.5,1600
430,2017,Toyota,Sienna AWD,6,Regular,Automatic,Minivan - 4WD,24,18,3.5,1750
431,2017,Toyota,Tacoma2WD,6,Regular,Automatic,Small 2WD,24,19,3.5,1650
432,2017,Toyota,Tacoma2WD,4,Regular,Automatic,Small 2WD,23,19,2.7,1650
433,2017,Toyota,Tacoma 4WD,6,Regular,Automatic,Small 4WD,23,18,3.5,1750
434,2017,Toyota,Tacoma 4WD,4,Regular,Automatic,Small 4WD,22,19,2.7,1750
435,2017,Toyota,Tacoma 4WD,4,Regular,Manual,Small 4WD,21,19,2.7,1750
436,2017,Toyota,Tacoma 4WD,6,Regular,Manual,Small 4WD,21,17,3.5,1950
437,2017,Toyota,Tacoma 4WD Double Cab,6,Regular,Manual,Small 4WD,20,17,3.5,1950
438,2017,Toyota,Tundra2WD,8,Regular,Automatic,Pickup 2WD,19,15,4.6,2200
439,2017,Toyota,Tundra2WD,8,Regular,Automatic,Pickup 2WD,18,13,5.7,2350
440,2017,Toyota,Tundra2WD FFV,8,Gasoline or E85,Automatic,Pickup 2WD,18,13,5.7,2350
441,2017,Toyota,Tundra 4WD,8,Regular,Automatic,Pickup 4WD,18,14,4.6,2200
442,2017,Toyota,Tundra 4WD,8,Regular,Automatic,Pickup 4WD,17,13,5.7,2350
443,2017,Toyota,Tundra 4WD FFV,8,Gasoline or E85,Automatic,Pickup 4WD,17,13,5.7,2350
444,2017,Toyota,Yaris,4,Regular,Automatic,Compact Cars,35,30,1.5,1100
445,2017,Toyota,Yaris,4,Regular,Manual,Compact Cars,36,30,1.5,1050
446,2017,Toyota,Yaris iA,4,Regular,Automatic,Sub Cars,40,32,1.5,1000
447,2017,Toyota,Yaris iA,4,Regular,Manual,Sub Cars,39,30,1.5,1050
